epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
44,4693.66,0.86511,1.13256,0.45449,0.00094,0.40836,0.90584,0.90203,0.94486,0.72697,0.90756,0.90047,0.94207,0.60813,0.87714,1.08312,0.44769,0.00109,0,0.0011486,0.0011486,0.0011486
45,4726.47,0.86781,1.10929,0.45948,0.00097,0.39736,0.88637,0.91101,0.94198,0.75426,0.87754,0.90398,0.93193,0.63153,0.76644,1.11358,0.42877,0.00096,0,0.0011288,0.0011288,0.0011288
46,4759.11,0.84765,1.09557,0.44493,0.00093,0.39993,0.8976,0.91011,0.94048,0.75942,0.89506,0.91062,0.93687,0.64284,0.74103,1.09158,0.43194,0.00092,0,0.001109,0.001109,0.001109
47,4791.41,0.8217,1.1028,0.44108,0.00091,0.37316,0.89871,0.90386,0.94102,0.75415,0.88794,0.91608,0.93199,0.62794,0.7586,1.08785,0.42088,0.00095,0,0.0010892,0.0010892,0.0010892
48,4824,0.84207,1.09596,0.44073,0.00093,0.38356,0.89837,0.91087,0.94528,0.75083,0.89504,0.90867,0.93962,0.63838,0.77905,1.12535,0.42863,0.00099,0,0.0010694,0.0010694,0.0010694
49,4856.55,0.82818,1.09728,0.44258,0.00093,0.39963,0.8897,0.91618,0.94759,0.75763,0.8993,0.89969,0.94294,0.64355,0.75359,1.15583,0.41785,0.00094,0,0.0010496,0.0010496,0.0010496
50,4892.24,0.83879,1.13171,0.43629,0.00092,0.38659,0.90742,0.90984,0.94576,0.75111,0.90354,0.90674,0.93844,0.61944,0.77074,1.06718,0.41579,0.00096,0,0.0010298,0.0010298,0.0010298
51,4924.84,0.85605,1.12242,0.4398,0.00092,0.39159,0.90392,0.89603,0.94246,0.75149,0.88619,0.91179,0.93983,0.61758,0.76017,1.09888,0.42266,0.00095,0,0.00101,0.00101,0.00101
52,4957.29,0.85604,1.11394,0.43132,0.00093,0.37584,0.90874,0.90951,0.94278,0.76621,0.90477,0.90749,0.93432,0.65247,0.7303,1.07524,0.40583,0.00092,0,0.0009902,0.0009902,0.0009902
53,4989.54,0.82225,1.08178,0.43081,0.00092,0.3708,0.90212,0.92233,0.9488,0.75447,0.90077,0.92123,0.94074,0.63533,0.78203,1.11247,0.4098,0.00099,0,0.0009704,0.0009704,0.0009704
54,5026.12,0.83576,1.10081,0.4217,0.0009,0.3682,0.90829,0.91616,0.94845,0.75979,0.90753,0.91413,0.94506,0.62784,0.76616,1.11554,0.39824,0.00096,0,0.0009506,0.0009506,0.0009506
55,5083.4,0.84077,1.08037,0.43021,0.00093,0.3698,0.90507,0.90788,0.94741,0.77017,0.90429,0.9071,0.94341,0.64713,0.72233,1.11532,0.40917,0.0009,0,0.0009308,0.0009308,0.0009308
56,5115.74,0.83149,1.07335,0.42208,0.00094,0.3644,0.91012,0.90749,0.94423,0.76453,0.90166,0.90902,0.93652,0.65199,0.73121,1.11301,0.40296,0.00092,0,0.000911,0.000911,0.000911
57,5152.71,0.81731,1.06762,0.42008,0.0009,0.35637,0.91517,0.89071,0.94037,0.76182,0.90951,0.88603,0.93562,0.64071,0.72763,1.10485,0.41396,0.00092,0,0.0008912,0.0008912,0.0008912
58,5186.65,0.80981,1.08182,0.42476,0.0009,0.36009,0.90019,0.90632,0.93787,0.75372,0.89149,0.9032,0.92691,0.62959,0.74432,1.08845,0.42992,0.00094,0,0.0008714,0.0008714,0.0008714
59,5224.49,0.83829,1.08815,0.42953,0.0009,0.35916,0.90333,0.89696,0.93626,0.74782,0.89952,0.8911,0.92843,0.62807,0.79488,1.10303,0.43404,0.00103,0,0.0008516,0.0008516,0.0008516
60,5257.04,0.83243,1.05925,0.4171,0.0009,0.35507,0.90332,0.89716,0.94125,0.75751,0.89884,0.88993,0.93497,0.6325,0.756,1.09543,0.41722,0.00095,0,0.0008318,0.0008318,0.0008318
61,5289.85,0.81278,1.06535,0.41422,0.00087,0.35369,0.90211,0.90242,0.94159,0.74363,0.89979,0.90066,0.9341,0.62042,0.79469,1.10437,0.43113,0.00101,0,0.000812,0.000812,0.000812
62,5964.02,0.82249,1.04375,0.4141,0.00088,0.35188,0.90934,0.89422,0.9397,0.7602,0.90686,0.8893,0.93303,0.64511,0.72886,1.09407,0.41997,0.00091,0,0.0007922,0.0007922,0.0007922
63,5999.81,0.8084,1.04776,0.41063,0.0009,0.36322,0.90211,0.90648,0.94386,0.74623,0.91322,0.89546,0.93877,0.62576,0.79824,1.11623,0.42546,0.00101,0,0.0007724,0.0007724,0.0007724
64,6032.35,0.81608,1.04994,0.41343,0.00088,0.3553,0.90799,0.8993,0.94221,0.75253,0.90403,0.90446,0.93794,0.62337,0.78318,1.08114,0.43058,0.00098,0,0.0007526,0.0007526,0.0007526
65,6064.69,0.81615,1.07018,0.41076,0.0009,0.35885,0.91278,0.9109,0.94471,0.76644,0.90547,0.90853,0.93661,0.64987,0.72882,1.11626,0.40943,0.00091,0,0.0007328,0.0007328,0.0007328
66,6096.85,0.79807,1.03515,0.3969,0.00088,0.33732,0.90449,0.90566,0.94218,0.76124,0.89777,0.90496,0.93371,0.64382,0.7281,1.12113,0.42789,0.0009,0,0.000713,0.000713,0.000713
67,6129.19,0.80822,1.04343,0.40466,0.00087,0.34141,0.9163,0.90583,0.94388,0.7594,0.89546,0.91942,0.9385,0.64311,0.75759,1.1024,0.40208,0.00095,0,0.0006932,0.0006932,0.0006932
68,6161.21,0.80198,1.02632,0.399,0.00088,0.34074,0.9039,0.91998,0.94218,0.75047,0.90408,0.9197,0.93679,0.62844,0.79073,1.12471,0.43003,0.00101,0,0.0006734,0.0006734,0.0006734
69,6192.99,0.79473,1.03315,0.39884,0.00087,0.3337,0.91496,0.90984,0.94164,0.75785,0.91202,0.90637,0.93859,0.62956,0.74779,1.09881,0.41069,0.00094,0,0.0006536,0.0006536,0.0006536
70,6233,0.80286,1.04309,0.4047,0.00088,0.34194,0.90236,0.91623,0.93958,0.7541,0.89787,0.91276,0.92954,0.64172,0.76379,1.11034,0.41698,0.00097,0,0.0006338,0.0006338,0.0006338
